token,symbol,name,exch_seg,clean_symbol
18359,SANDUMA-EQ,SANDUMA,NSE,SANDUMA
18479,ISFT-EQ,ISFT,NSE,ISFT
18520,CUPID-EQ,CUPID,NSE,CUPID
18543,DIACABS-EQ,DIACABS,NSE,DIACABS
18743,SIGNATURE-EQ,SIGNATURE,NSE,SIGNATURE
18889,KSL-EQ,KSL,NSE,KSL
19113,UDS-EQ,UDS,NSE,UDS
19196,TI-EQ,TI,NSE,TI
19237,MONIFTY500-EQ,MONIFTY500,NSE,MONIFTY500
19299,ITDC-EQ,ITDC,NSE,ITDC
19372,SPCENET-EQ,SPCENET,NSE,SPCENET
19686,BLUEJET-EQ,BLUEJET,NSE,BLUEJET
1997,LICHSGFIN-EQ,LICHSGFIN,NSE,LICHSGFIN
19877,RADIOCITY-EQ,RADIOCITY,NSE,RADIOCITY
201,UNIDT-EQ,UNIDT,NSE,UNIDT
20134,RAMKY-EQ,RAMKY,NSE,RAMKY
20159,ARIHANTSUP-EQ,ARIHANTSUP,NSE,ARIHANTSUP
20188,WABAG-EQ,WABAG,NSE,WABAG
20323,RESPONIND-EQ,RESPONIND,NSE,RESPONIND
20776,BHAGYANGR-EQ,BHAGYANGR,NSE,BHAGYANGR
20778,JAMNAAUTO-EQ,JAMNAAUTO,NSE,JAMNAAUTO
20788,MOTISONS-EQ,MOTISONS,NSE,MOTISONS
20830,MOIL-EQ,MOIL,NSE,MOIL
20877,PSPPROJECT-EQ,PSPPROJECT,NSE,PSPPROJECT
21247,DIGIDRIVE-EQ,DIGIDRIVE,NSE,DIGIDRIVE
21423,MOM100-EQ,MOM100,NSE,MOM100
2144,BDL-EQ,BDL,NSE,BDL
21428,TATSILV-EQ,TATSILV,NSE,TATSILV
21578,COMSYN-EQ,COMSYN,NSE,COMSYN
21705,MEDIASSIST-EQ,MEDIASSIST,NSE,MEDIASSIST
21704,DCAL-EQ,DCAL,NSE,DCAL
21957,INDTERRAIN-EQ,INDTERRAIN,NSE,INDTERRAIN
22463,EPACK-EQ,EPACK,NSE,EPACK
22566,BLSE-EQ,BLSE,NSE,BLSE
22592,HEALTHADD-EQ,HEALTHADD,NSE,HEALTHADD
22656,SIGNPOST-EQ,SIGNPOST,NSE,SIGNPOST
22722,LICNMID100-EQ,LICNMID100,NSE,LICNMID100
22832,SMALLCAP-EQ,SMALLCAP,NSE,SMALLCAP
2294,MTNL-EQ,MTNL,NSE,MTNL
2328,CPSEETF-EQ,CPSEETF,NSE,CPSEETF
2331,JAYNECOIND-EQ,JAYNECOIND,NSE,JAYNECOIND
23365,AQYLON-EQ,AQYLON,NSE,AQYLON
23621,JNKINDIA-EQ,JNKINDIA,NSE,JNKINDIA
23806,ABSLPSE-EQ,ABSLPSE,NSE,ABSLPSE
24025,KRONOX-EQ,KRONOX,NSE,KRONOX
24184,PIIND-EQ,PIIND,NSE,PIIND
24226,STANLEY-EQ,STANLEY,NSE,STANLEY
24386,BANSALWIRE-EQ,BANSALWIRE,NSE,BANSALWIRE
1142,GINNIFILA-EQ,GINNIFILA,NSE,GINNIFILA
11511,CENTEXT-EQ,CENTEXT,NSE,CENTEXT
11522,NIITLTD-EQ,NIITLTD,NSE,NIITLTD
11536,TCS-EQ,TCS,NSE,TCS
11580,WESTLIFE-EQ,WESTLIFE,NSE,WESTLIFE
11591,HDFCNIFTY-EQ,HDFCNIFTY,NSE,HDFCNIFTY
11596,LINCOLN-EQ,LINCOLN,NSE,LINCOLN
11626,WELENT-EQ,WELENT,NSE,WELENT
11630,NTPC-EQ,NTPC,NSE,NTPC
11743,JINDALPHOT-EQ,JINDALPHOT,NSE,JINDALPHOT
11794,SAKSOFT-EQ,SAKSOFT,NSE,SAKSOFT
11852,SURYALAXMI-EQ,SURYALAXMI,NSE,SURYALAXMI
11896,GEOJITFSL-EQ,GEOJITFSL,NSE,GEOJITFSL
11975,RML-EQ,RML,NSE,RML
1196,KANSAINER-EQ,KANSAINER,NSE,KANSAINER
